Designator,Mid X,Mid Y,Rotation,Layer
D91,263.657053,-50.842947,225.0,top
D92,262.157053,-50.842947,225.0,top
D93,260.657053,-50.842947,225.0,top
D94,259.157053,-50.842947,225.0,top
D95,257.657053,-50.842947,225.0,top
D96,256.157053,-50.842947,225.0,top
D97,272.51653,-43.342947,225.0,top
D98,271.157053,-43.342947,225.0,top
D99,269.657053,-43.342947,225.0,top
J1,253.0,-77.0,0.0,top
J2,262.96,-61.0,90.0,top
J3,275.125,-69.0,0.0,top
J4,256.350951,-65.886485,135.0,top
J5,241.375,-65.5,180.0,top
J6,275.766559,-59.00908,90.0,top
R1,251.594101,-70.726232,90.0,top
R10,249.446595,-55.329312,225.0,top
R11,271.035964,-73.678295,0.0,top
R15,270.99,-85.5,0.0,top
R2,255.400988,-70.99532,0.0,top
R5,246.010318,-52.888293,315.0,top
R6,251.639376,-55.139376,135.0,top
R7,250.957191,-55.798378,135.0,top
R8,247.73299,-55.250838,225.0,top
R9,248.764727,-56.622367,315.0,top
SW1,263.783426,-85.504807,135.0,top
U1,266.3,-69.8,270.0,top
U2,247.479993,-65.74248,270.0,top
U3,271.5875,-81.905,90.0,top
U4,249.797272,-50.742705,270.0,top
Y1,269.762558,-60.95,180.0,top
